matchup_type,game_num,num_moves,total_time_sec
Baseline-Random,12,20,0.00638733300002059
Baseline-Random,13,27,0.008137042001180816
Baseline-Random,14,38,0.010767040999780875
Baseline-Random,15,15,0.006961250001040753
Baseline-Random,16,22,0.0053309579961933196
Baseline-Random,17,19,0.008098165999399498
Baseline-Random,18,18,0.010259583999868482
Baseline-Random,19,13,0.005713667000236455
Baseline-Random,20,26,0.0056758749997243285
Baseline-Random,21,29,0.009861375001491979
Baseline-Random,22,14,0.003815541997028049
Baseline-Random,23,11,0.005950874998234212
Baseline-Random,24,32,0.007505791996663902
Baseline-Random,25,19,0.006610208998608869
Baseline-Random,26,10,0.004056833997310605
Baseline-Random,27,21,0.007534291005867999
Baseline-Random,28,22,0.008386542001971975
Baseline-Random,29,17,0.007360499999776948
Baseline-Random,30,22,0.007998833003512118
Baseline-Random,31,7,0.0031837079950491898
Baseline-Random,32,16,0.0062090840001474135
Baseline-Random,33,29,0.010388290997070726
Baseline-Random,34,26,0.008527167003194336
Baseline-Random,35,19,0.009401041999808513
Baseline-Random,36,18,0.006824292002420407
Baseline-Random,37,25,0.006722333004290704
Baseline-Random,38,8,0.0031235839996952564
Baseline-Random,39,21,0.010129500005859882
Baseline-Random,40,18,0.00946683300571749
Baseline-Random,41,33,0.010026208001363557
Baseline-Random,42,22,0.00749987499875715
Baseline-Random,43,25,0.008833833002427127
Baseline-Random,44,12,0.005215791003138293
Baseline-Random,45,21,0.007482041000912432
Baseline-Random,46,20,0.004225249998853542
Baseline-Random,47,11,0.004818832996534184
Baseline-Random,48,20,0.00539862499863375
Baseline-Random,49,21,0.006173667003167793
Baseline-Random,50,34,0.006966832996113226
Baseline-Random,51,21,0.0054068329991423525
Baseline-Random,52,16,0.007158208005421329
Baseline-Random,53,15,0.005618000002868939
Baseline-Random,54,12,0.004994082999473903
Baseline-Random,55,9,0.004515292006544769
Baseline-Random,56,16,0.005725457995140459
Baseline-Random,57,13,0.006278166998527013
Baseline-Random,58,26,0.008349625000846572
Baseline-Random,59,21,0.006182332996104378
Baseline-Random,60,20,0.005860542005393654
Baseline-Random,61,21,0.00829633400280727
Baseline-Random,62,26,0.0075597090035444126
Baseline-Random,63,29,0.006155374998343177
Baseline-Random,64,22,0.005317041002854239
Baseline-Random,65,17,0.007489708994398825
Baseline-Random,66,16,0.005995500003336929
Baseline-Random,67,13,0.0060927919985260814
