depth,game_num,winner,num_moves,minimax_player,minimax_avg_time_ms,baseline_avg_time_ms,total_time_sec
1,75,1,9,1,1.2200331984786317,0.4374582495074719,0.0078955830031191
1,76,2,24,2,1.0697013325019118,0.36008325090127374,0.017492792001576163
1,77,1,15,1,1.067921875801403,0.34623843073079896,0.011046542000258341
1,78,2,8,2,0.93118750010035,0.39105200085032266,0.005322332996001933
1,79,1,9,1,1.1959998024394736,0.43555225056479685,0.007767249997414183
1,80,2,22,2,0.9116628194037317,0.31442809069465677,0.013646291001350619
1,81,1,33,1,0.9759339402936509,0.21983593660479528,0.02040662500075996
1,82,2,30,2,1.0280445329650927,0.22581380035262555,0.01913349999813363
1,83,1,7,1,1.1738332505046856,0.4282916658363926,0.006002166999678593
1,84,2,6,2,1.0099026670407814,0.4580829991027713,0.004422957994393073
1,85,1,9,1,1.1492248013382778,0.391718749597203,0.007362832999206148
